system:index,Lat,Lat_dd,Long,Long_dd,Station_Id,date,fai,ndci,.geo,Chlorophylla_Measurement,Discharge_cfs,Temperature_C
20181225T160659_20181225T161522_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,12/25/2018,-8.4413,-0.014492754,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",30,,
20190106T160511_20190106T160506_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,1/6/2019,-33.7108,0.14619883,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",27.9,1857,21.7
20190121T160509_20190121T160511_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,1/21/2019,21.0667,0.15542522,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",34.3,610,
20190205T160511_20190205T160508_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,2/5/2019,-41.8282,0.210526316,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",46.6,0,19.7
20190218T160311_20190218T160940_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,2/18/2019,222.127,0.071925754,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",27,1240,
20190302T160509_20190302T160509_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,3/2/2019,-27.6793,0.111111111,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",12,792,
20190330T155901_20190330T160533_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,3/30/2019,372.2166,0.17798913,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",17.5,1043,23.4
20190504T155829_20190504T161315_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,5/4/2019,-37.8986,0.022880802,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",47.3,24,27.5
20190603T155829_20190603T161410_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,6/3/2019,2139.6776,0.333857031,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",25.4,334,
20190730T160519_20190730T160519_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,7/30/2019,-37.0854,0,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",10.9,0,30.2
20190926T160021_20190926T160854_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,9/26/2019,25.54,0.061538462,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",1.95,278,26.7
20191021T160309_20191021T161516_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,10/21/2019,31.7748,0.188405797,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",3.11,0,27.2
20191021T160309_20191021T161516_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,10/21/2019,3415.2459,0.30060423,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",8.72,1340,28.5
20191107T160509_20191107T160511_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,11/7/2019,2.5112,0.094017094,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",6.7,492,27
20191120T160549_20191120T160546_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,11/20/2019,31.4952,0.05625,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",7.25,834,20.4
20191120T160549_20191120T160546_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,11/20/2019,3069.8078,0.348297214,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",0.98,616,23.1
20191130T160619_20191130T160655_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,11/30/2019,0.8826,0.097560976,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",11.6,720,22.1
20191215T160651_20191215T161517_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,12/15/2019,-15.8442,0.097643098,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",44.2,75,22
20191215T160651_20191215T161517_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,12/15/2019,2601.8927,0.228937729,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",3.86,1050,22.1
20200101T160511_20200101T160506_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,1/1/2020,5.778,0.038869258,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",10.1,156,22.9
20200126T160509_20200126T160504_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,1/26/2020,-25.6793,-0.005347594,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",13.3,761,16.7
20200223T160241_20200223T160912_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,2/23/2020,-14.1393,0.164113786,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",13.4,824,21.5
20200223T160241_20200223T160912_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,2/23/2020,1748.8959,0.224341508,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",14.5,1070,22.2
20200321T160511_20200321T160507_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,3/21/2020,1119.2464,0.102022672,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",12.4,868,25.8
20200324T155911_20200324T160549_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,3/24/2020,-36.0081,0.159921027,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",11.8,493,25.8
20200423T155911_20200423T161020_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,4/23/2020,151.7369,0.046521932,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",58,819,27.3
20200423T155911_20200423T161020_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,4/23/2020,301.651,0.089820359,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",72.1,615,28
20200627T155829_20200627T161234_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,6/27/2020,37.238,0.008069522,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",13,484,31.7
20200727T155829_20200727T160536_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,7/27/2020,-102.3298,0.103878492,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",6.28,38,28.8
20200808T160521_20200808T160517_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,8/8/2020,-106.6249,-0.075655431,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",3.92,0,31.5
20200811T155911_20200811T161215_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,8/11/2020,2757.3372,0.213087248,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",39.7,968,30.9
20201017T160521_20201017T160517_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,10/17/2020,53.0096,0.096774194,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",7.91,4047,27
20201116T160511_20201116T160514_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,11/16/2020,-13.0475,0.177664975,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",3.9,4096,26.1
20201201T160509_20201201T160510_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,12/1/2020,2.6921,-0.016216216,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",3.54,3984,23.2
20201214T160649_20201214T160650_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,12/14/2020,-21.9333,0.056379822,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",4.44,2040,18.7
20201214T160649_20201214T160650_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,12/14/2020,3078.1189,0.295711061,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",6.44,3170,19.8
20201226T160511_20201226T160511_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,12/26/2020,-19.6094,0.026548673,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",5.08,1404,16.4
20201229T160651_20201229T161425_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,12/29/2020,-39.254,-0.005347594,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",5.08,825,16.4
20210110T160509_20210110T160510_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,1/10/2021,-24.6158,0.358885017,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",5.24,658,17.8
20210128T160521_20210128T161127_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,1/28/2021,18.6953,-0.005617978,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",13.5,837,19.7
20210222T160149_20210222T161055_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,2/22/2021,1022.4177,0.049948187,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",21,886,21.5
20210405T160511_20210405T160507_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,4/5/2021,-131.8378,-0.5,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",5.94,1245,21.2
20210408T155901_20210408T161252_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,4/8/2021,1426.0704,0.154251317,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",7.7,663,24
20210811T155819_20210811T160454_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,8/11/2021,-6.095,0.088422081,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",27,106,30
20210811T155819_20210811T160454_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,8/11/2021,3060.5479,0.3437014,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",10.8,1390,30.3
20210905T155901_20210905T160747_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,9/5/2021,2230.8041,0.233038348,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",20.5,1350,29.5
20210910T155819_20210910T160507_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,9/10/2021,2602.8804,0.20620438,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",20.5,2360,29.5
20210920T155839_20210920T161448_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,9/20/2021,80.2668,0.006896552,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",0.701,0,29
20211002T160521_20211002T160516_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,10/2/2021,-35.3997,0,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",7.88,0,27.3
20211007T160509_20211007T160512_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,10/7/2021,534.7145,0.005095541,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",7.88,0,27.3
20211017T160509_20211017T160512_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,10/17/2021,29.7081,-0.420560748,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",7.78,0,26.9
20211020T160209_20211020T160527_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,10/20/2021,37.5144,-0.029850746,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",7.78,68,26.9
20211101T160521_20211101T160515_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,11/1/2021,54.7716,0.044025157,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",4,369,24.2
20211116T160509_20211116T160509_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,11/16/2021,-34.8666,0.050847458,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",11.8,781,21.1
20211129T160619_20211129T161236_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,11/29/2021,-1.1809,0.220338983,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",14.8,1243,19.6
20211201T160511_20211201T160511_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,12/1/2021,-18.9173,0,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",14.8,1696,19.6
20211226T160509_20211226T160506_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,12/26/2021,7.7652,-0.041860465,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",9.61,1472,20.4
20211229T160649_20211229T161342_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,12/29/2021,15.9365,-0.015873016,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",9.61,1646,20.4
20220108T160639_20220108T161304_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,1/8/2022,-1.5048,0.029411765,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",19.3,1670,21.7
20220108T160639_20220108T161304_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,1/8/2022,2339.5474,0.221117062,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",5.41,2120,23.2
20220113T160631_20220113T161331_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,1/13/2022,13.016,0.029761905,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",19.3,1716,21.7
20220113T160631_20220113T161331_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,1/13/2022,1727.6621,0.184534271,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",5.41,1940,23.2
20220212T160401_20220212T161135_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,2/12/2022,5.0032,0.016393443,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",14.6,733,18.4
20220212T160401_20220212T161135_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,2/12/2022,1529.8799,0.127308066,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",16.2,1610,18.5
20220326T160509_20220326T160508_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,3/26/2022,51.9429,0.058823529,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",21.4,1999,22.7
20220329T155819_20220329T161449_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,3/29/2022,69.5523,0.035842294,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",21.4,2325,22.7
20220420T160521_20220420T160516_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,4/20/2022,-5.3394,0.097087379,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",56.5,477,26.4
20220505T160509_20220505T160507_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,5/5/2022,-127.9301,-0.135734072,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",13.8,613,27.2
20220515T160509_20220515T160510_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,5/15/2022,-24.746,0.039274924,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",18.8,856,27.3
20220627T155829_20220627T161037_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,6/27/2022,-121.2444,0.062374245,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",79.6,,30.5
20220712T155921_20220712T161132_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,7/12/2022,2698.239,0.370125092,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",23.8,1060,31.6
20220806T155829_20220806T160844_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,8/6/2022,38.3399,0.068247357,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",39.4,324,31.4
20221005T160119_20221005T161213_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,10/5/2022,3.0128,-0.079646018,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",8.33,0,25.7
20221030T160411_20221030T161121_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,10/30/2022,27.2732,0.103825137,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",5.58,0,25.2
20221114T160529_20221114T161120_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,11/14/2022,-0.6825,0.088495575,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",3.47,0,24.1
20221114T160529_20221114T161120_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,11/14/2022,1703.366,0.217831814,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",1.15,2060,25.3
20221126T160511_20221126T160511_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,11/26/2022,25.6382,0.113095238,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",18.5,0,23.9
20221129T160621_20221129T160726_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,11/29/2022,11.1302,0.109375,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",18.5,486,23.9
20221201T160509_20221201T160509_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,12/1/2022,-11.5587,0,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",18.5,2095,23.9
20221211T160509_20221211T160508_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,12/11/2022,384.0468,0.10472155,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",6.2,618,23.1
20221214T160649_20221214T161523_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,12/14/2022,1318.6232,0.055399061,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",1.88,1360,23.6
20221229T160701_20221229T160923_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,12/29/2022,10.2412,-0.126005362,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",6.9,1138,
20230108T160641_20230108T160811_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,1/8/2023,-1.8858,0.007371007,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",3.86,754,19.7
20230108T160641_20230108T160811_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,1/8/2023,1607.5437,0.081881533,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",4.74,1260,19.3
20230207T160431_20230207T161257_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,2/7/2023,15.7524,0.015873016,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",4.39,957,21.1
20230214T160511_20230214T160508_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,2/14/2023,19.5299,0.044226044,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",3.16,2172,20.4
20230301T160509_20230301T160512_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,3/1/2023,-16.2033,-0.037527594,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",0.348,2468,24.1
20230423T155819_20230423T160343_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,4/23/2023,67.9397,0.046317388,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",22.2,1065,26.5
20230513T155829_20230513T160511_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,5/13/2023,152.7748,0.053571429,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",14.9,1260,28.4
20230614T160511_20230614T160513_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,6/14/2023,-113.6345,-1,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",19.8,0,29.4
20230627T155821_20230627T161415_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,6/27/2023,69.4007,0.047224524,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",23.4,0,28.2
20230724T160511_20230724T160514_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,7/24/2023,233.7433,-0.008174387,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",2.76,749,30.9
20230806T155911_20230806T161115_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,8/6/2023,177.4354,0.094801223,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",0.408,0,30.8
20230808T160519_20230808T160514_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,8/8/2023,-0.6377,-0.193548387,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",0.408,763,30.8
20230823T160521_20230823T160515_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,8/23/2023,30.3655,-0.029850746,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",2.22,0,30.3
20230905T155821_20230905T160725_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,9/5/2023,52.3303,-0.222222222,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",2.18,786,28.8
20230907T160519_20230907T160513_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,9/7/2023,-23.5235,-1,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",2.18,729,28.8
20231005T160121_20231005T161433_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,10/5/2023,66.2097,-0.018587361,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",2.06,536,28.5
20231005T160121_20231005T161433_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,10/5/2023,1026.6862,0.095823096,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",3.14,4480,27.9
20231017T160509_20231017T160540_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,10/17/2023,-29.6158,-0.024390244,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",7.06,980,27.1
20231101T160511_20231101T160508_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,11/1/2023,-23.0507,-0.029535865,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",16.7,1761,25.2
20231209T160649_20231209T160842_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,12/9/2023,1635.9626,0.211120765,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",8.74,1740,21.4
20231231T160511_20231231T160506_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,12/31/2023,27.0635,0.038461538,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",8.38,,19.1
20240207T160429_20240207T160541_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,2/7/2024,56.5016,0.060532688,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",17.8,1346,18.4
20240207T160429_20240207T160541_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,2/7/2024,1562.2102,0.147175815,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",4.26,1950,19.3
20240222T160251_20240222T160550_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,2/22/2024,-5.9968,0.00591716,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",16.6,5412,19.6
20240320T160511_20240320T160510_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,3/20/2024,-37.4221,-0.033942559,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",17,4776,24.6
20240414T160509_20240414T160510_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,4/14/2024,-121.2823,-0.344827586,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",21.4,1920,
20240502T155901_20240502T161232_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,5/2/2024,-55.4189,0.007286755,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",24.9,1750,24.7
20240527T155819_20240527T161150_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,5/27/2024,190.8587,-0.019388284,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",37.8,1839,30.9
20240529T160511_20240529T160512_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,5/29/2024,1136.5666,0.081841432,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",37.8,2692,30.9
20240608T160521_20240608T160515_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,6/8/2024,-152.6948,-0.038817006,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",23.3,1196,
20240706T155819_20240706T160600_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,7/6/2024,-154.9611,0.136226034,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",36.2,0,
20240706T155819_20240706T160600_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,7/6/2024,1179.3281,0.225593668,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",147,3030,
20241029T160401_20241029T160825_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,10/29/2024,-30.7364,-0.038961039,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",7.18,2437,24.8
20241113T160429_20241113T160532_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,11/13/2024,668.0495,0.069860279,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",7.69,2118,26.2
20241113T160429_20241113T160532_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,11/13/2024,2692.0138,0.194650817,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",3.43,2010,26.5
20241123T160509_20241123T160634_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,11/23/2024,8.3079,0.13618677,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",8.89,1888,19.2
20241125T160511_20241125T160508_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,11/25/2024,-40.7428,-0.004048583,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",8.89,2064,19.2
20241208T160651_20241208T161345_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,12/8/2024,-12.9968,0.098236776,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",9.73,2292,17.5
20241208T160651_20241208T161345_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,12/8/2024,2155.5309,0.225558122,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",6.67,2190,19.4
